date,split,actual,yhat,yhat_lower,yhat_upper,forecast_stage
1970-01-23,train,37.45,,,,actual_training_history
1970-01-26,train,37.45,,,,actual_training_history
1970-01-27,train,37.45,,,,actual_training_history
1970-01-28,train,37.45,,,,actual_training_history
1970-01-29,train,37.45,,,,actual_training_history
1970-01-30,train,37.45,,,,actual_training_history
1970-02-02,train,34.98,,,,actual_training_history
1970-02-03,train,35.0,,,,actual_training_history
1970-02-04,train,35.38,,,,actual_training_history
1970-02-05,train,35.38,,,,actual_training_history
1970-02-06,train,35.25,,,,actual_training_history
1970-02-09,train,36.1,,,,actual_training_history
1970-02-10,train,36.33,,,,actual_training_history
1970-02-11,train,37.65,,,,actual_training_history
1970-02-12,train,37.55,,,,actual_training_history
1970-02-13,train,37.55,,,,actual_training_history
1970-02-16,train,37.55,,,,actual_training_history
1970-02-17,train,37.55,,,,actual_training_history
1970-02-18,train,37.55,,,,actual_training_history
1970-02-19,train,37.55,,,,actual_training_history
1970-02-20,train,37.55,,,,actual_training_history
1970-02-23,train,37.55,,,,actual_training_history
1970-02-24,train,37.55,,,,actual_training_history
1970-02-25,train,37.55,,,,actual_training_history
1970-02-26,train,37.55,,,,actual_training_history
1970-02-27,train,37.55,,,,actual_training_history
1970-03-02,train,35.0,,,,actual_training_history
1970-03-03,train,35.01,,,,actual_training_history
1970-03-04,train,35.34,,,,actual_training_history
1970-03-05,train,35.34,,,,actual_training_history
1970-03-06,train,35.12,,,,actual_training_history
1970-03-09,train,36.27,,,,actual_training_history
1970-03-10,train,36.27,,,,actual_training_history
1970-03-11,train,37.42,,,,actual_training_history
1970-03-12,train,37.55,,,,actual_training_history
1970-03-13,train,37.55,,,,actual_training_history
1970-03-16,train,37.55,,,,actual_training_history
1970-03-17,train,37.55,,,,actual_training_history
1970-03-18,train,37.55,,,,actual_training_history
1970-03-19,train,37.55,,,,actual_training_history
1970-03-20,train,37.55,,,,actual_training_history
1970-03-23,train,37.55,,,,actual_training_history
1970-03-24,train,37.55,,,,actual_training_history
1970-03-25,train,37.55,,,,actual_training_history
1970-03-26,train,37.55,,,,actual_training_history
1970-03-27,train,37.55,,,,actual_training_history
1970-03-30,train,37.55,,,,actual_training_history
1970-03-31,train,37.55,,,,actual_training_history
1970-04-01,train,37.55,,,,actual_training_history
1970-04-02,train,35.0,,,,actual_training_history
1970-04-03,train,34.98,,,,actual_training_history
1970-04-06,train,35.19,,,,actual_training_history
1970-04-07,train,35.19,,,,actual_training_history
1970-04-08,train,35.31,,,,actual_training_history
1970-04-09,train,36.25,,,,actual_training_history
1970-04-10,train,36.25,,,,actual_training_history
1970-04-13,train,37.54,,,,actual_training_history
