Date, GLD Close, NAV per GLD in Gold, NAV/share at 10.30 a.m. NYT, Indicative Price of GLD at 4.15 p.m. NYT, Mid point of bid/ask spread at 4.15 p.m. NYT#, Premium/Discount of GLD mid point v Indicative Value of GLD at 4.15 p.m. NYT, Daily Share Volume, Total Net Asset Value Ounces in the Trust as at 4.15 p.m. NYT, Total Net Asset Value Tonnes in the Trust as at 4.15 p.m. NYT, Total Net Asset Value in the Trust
19-Oct-11,159.75,97.3043,160.7953625,159.847,$159.82 ,-0.02%,8555510,39465715.88,1227.51,65202519502
20-Oct-11,157.77,97.3028,157.6305429,157.558,$157.74 ,0.12%,16637306,39465715.88,1227.51,63919185158
21-Oct-11,159.52,97.30206,159.8186325,159.259,$159.54 ,0.18%,13301254,39465715.88,1227.51,64806455490
24-Oct-11,161.02,97.29902,160.7379801,160.974,$160.94 ,-0.02%,10167570,39660313.92,1233.56,65500726877
25-Oct-11,165.59,97.29802,161.1255228,166.268,$165.61 ,-0.40%,22073009,40000856.99,1244.16,66222589868
26-Oct-11,167.31,97.29791,166.8659146,167.503,$167.42 ,-0.05%,16953736,40000856.99,1244.16,68581890893
27-Oct-11,169.94,97.29689,167.1560648,169.788,$169.55 ,-0.14%,15816945,39981397.61,1243.55,68667711413
28-Oct-11,169.62,97.29621,169.3927046,169.787,$169.66 ,-0.07%,9255213,39981397.61,1243.55,69586523041
31-Oct-11,167.34,97.29267,167.5379827,167.207,$167.25 ,0.03%,8324450,39981397.61,1243.55,68824603288
1-Nov-11,167.41,97.29116,165.297685,167.28,$167.38 ,0.06%,15017255,39981397.61,1243.55,67904289011
2-Nov-11,169.06,97.29097,169.5781625,168.88,$169.01 ,0.08%,14325284,39981397.61,1243.55,69662709157
3-Nov-11,171.72,97.2902,171.0361787,171.702,$171.69 ,-0.01%,16795747,39981397.61,1243.55,70261662226
4-Nov-11,170.85,97.28896,170.1583878,170.835,$170.84 ,0.00%,11057995,40030042.09,1245.06,69986144888
7-Nov-11,174.98,97.28649,173.3645204,174.52,$174.96 ,0.25%,19813647,40370544.81,1255.65,71911603076
8-Nov-11,173.53,97.28571,174.6278412,173.322,$173.55 ,0.13%,16045309,40642944.8,1264.13,72924586482
9-Nov-11,172.07,97.2844,173.5553687,172.77,$172.09 ,-0.39%,12267644,40740229.2,1267.15,72650277355
10-Nov-11,171.14,97.28269,170.8284028,171.125,$171.15 ,0.01%,11826121,40788870.54,1268.67,71594183614
11-Nov-11,173.96,97.28203,172.4810412,173.839,$173.97 ,0.08%,8766434,40788870.54,1268.67,72286804385
14-Nov-11,173.2,97.27892,172.7673577,172.883,$173.20 ,0.18%,5880161,40776411.02,1268.28,72406799626
15-Nov-11,173.36,97.27794,173.6411166,173.278,$173.40 ,0.07%,9246958,40776411.02,1268.28,72772991983
16-Nov-11,171.51,97.27659,170.8176895,172.357,$171.51 ,-0.49%,14963087,41068240.79,1277.36,72102146730
17-Nov-11,167.07,97.27538,169.5023538,167.283,$167.08 ,-0.12%,20217482,41457342.31,1289.46,72224952936
18-Nov-11,167.62,97.27405,167.2140969,167.601,$167.65 ,0.03%,14005219,41574071.17,1293.09,71450583606
21-Nov-11,163.5,97.27064,165.5546209,163.083,$163.62 ,0.33%,21990042,41515708.78,1291.27,70642156726
22-Nov-11,165.31,97.26953,165.2609302,165.319,$165.30 ,-0.01%,12089495,41710247.84,1297.32,70847360778
23-Nov-11,164.83,97.2682,163.5078382,164.684,$164.85 ,0.10%,11236520,41710247.84,1297.32,70095810235
24-Nov-11, HOLIDAY, HOLIDAY, HOLIDAY, HOLIDAY, HOLIDAY, HOLIDAY, HOLIDAY, HOLIDAY, HOLIDAY, HOLIDAY
25-Nov-11,163.4,97.26619,164.2339545,163.746,$163.51 ,-0.14%,6074189,41710247.84,1297.32,70407096292
28-Nov-11,166.63,97.26345,166.7095582,166.085,$166.60 ,0.31%,11686441,41710247.84,1297.32,71468387583
29-Nov-11,166.88,97.26244,166.9996172,167.213,$166.91 ,-0.18%,9174227,41710247.84,1297.32,71592735884
30-Nov-11,170.13,97.26192,169.8193082,169.936,$170.03 ,0.06%,11560482,41749152.61,1298.53,72869465142
1-Dec-11,169.64,97.26097,170.401214,169.635,$169.65 ,0.01%,11605997,41729700.42,1297.93,73085080689
2-Dec-11,169.92,97.25981,169.9128835,169.96,$169.79 ,-0.10%,8479970,41729700.42,1297.93,72875635723
5-Dec-11,167.32,97.25655,169.6154317,167.745,$167.35 ,-0.24%,10187890,41729700.42,1297.93,72748058651
6-Dec-11,168.18,97.25469,166.1110068,168.158,$168.17 ,0.01%,10432215,41729700.42,1297.93,71245010794
7-Dec-11,169.34,97.25426,168.7847666,169.191,$169.37 ,0.11%,10319350,41661622.43,1295.81,72273637042
8-Dec-11,165.95,97.25271,166.7884008,166.01,$165.99 ,-0.01%,11363191,41661622.43,1295.81,71418793240
9-Dec-11,166.4,97.2515,166.2028158,166.788,$166.35 ,-0.26%,8333112,41648427.39,1295.4,71168045704
12-Dec-11,161.97,97.24788,161.3828532,161.981,$161.98 ,0.00%,15293789,41628977.81,1294.8,69071861155
13-Dec-11,158.45,97.24694,162.6455072,159.14,$158.50 ,-0.40%,24633894,41628977.81,1294.8,69612277068
14-Dec-11,152.89,97.24514,155.8839578,152.41,$152.89 ,0.31%,42209190,41628977.81,1294.8,66718333941
15-Dec-11,152.33,97.24373,153.0616299,152.452,$152.34 ,-0.07%,21499597,41152483.53,1279.98,64760375624
16-Dec-11,155.23,97.24292,155.0052199,155.205,$155.30 ,0.06%,17965507,41152483.53,1279.98,65582708536
